receiver_ip,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,timestamp,ant,sig_len,rx_state,real_time,len,csi_data
192.168.4.4,00:4B:12:9B:47:81,-77,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,15602779,0,94,0,15.9825,256,[94 96 5 0 -4 -25 -4 -22 -8 -20 -8 -20 -8 -20 -8 -17 -8 -17 -9 -16 -8 -18 -13 -14 -9 -12 -9 -12 -11 -13 -12 -12 -16 -13 -16 -12 -13 -9 -13 -11 -13 -13 -13 -9 -11 -10 -11 -11 -10 -13 -10 -12 -8 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -29 -8 -32 -5 -33 -5 -33 -1 -34 1 -33 3 -34 3 -34 7 -34 7 -32 6 -33 7 -33 8 -30 7 -31 5 -32 6 -29 2 -28 4 -26 2 -28 1 -26 1 -25 1 -26 -2 -26 -2 -26 -4 -26 -4 -26 ]
192.168.4.3,00:4B:12:9B:47:81,-72,11,1,3,0,1,1,1,0,0,0,-97,1,1,0,20359319,0,94,0,20.7616,256,[94 96 5 0 21 -14 23 -13 20 -15 18 -12 18 -13 19 -14 18 -12 17 -14 15 -15 16 -18 12 -17 13 -16 13 -16 14 -15 15 -15 14 -16 14 -14 14 -15 14 -14 14 -13 16 -12 14 -12 14 -11 14 -9 13 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -14 18 -13 18 -13 19 -13 20 -11 20 -11 22 -10 23 -11 22 -8 24 -8 24 -8 24 -9 22 -10 23 -7 23 -7 24 -8 21 -8 22 -10 22 -11 21 -9 21 -12 22 -12 19 -11 21 -11 22 -13 22 -12 ]
192.168.4.4,00:4B:12:9B:47:81,-80,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,15613644,0,94,0,15.9934,256,[94 96 5 0 -2 22 -3 17 -1 21 2 20 2 22 -2 20 2 20 3 20 6 21 7 21 6 20 3 19 11 23 8 22 8 24 10 26 9 23 5 24 4 24 3 29 4 25 4 25 2 26 0 25 -2 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 17 -11 16 -12 16 -13 17 -15 16 -14 15 -16 16 -17 11 -15 16 -15 12 -17 13 -17 13 -15 13 -14 8 -12 11 -16 13 -13 11 -11 13 -9 15 -12 15 -11 15 -7 19 -7 20 -7 19 -7 18 -5 22 ]
192.168.4.3,00:4B:12:9B:47:81,-72,11,1,3,0,1,1,1,0,0,0,-97,1,1,0,20371243,0,94,0,20.7735,256,[94 96 5 0 25 13 24 10 24 11 23 9 22 11 24 10 22 10 23 10 24 7 25 7 24 5 23 4 23 6 23 6 24 7 24 7 23 7 22 8 20 9 21 10 19 10 19 10 18 9 17 12 16 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 4 16 5 17 7 15 8 18 7 18 9 17 11 18 11 19 11 17 13 18 13 19 15 18 13 17 12 17 13 18 13 17 13 20 13 19 11 19 12 20 12 20 13 21 11 23 10 23 12 26 12 ]
192.168.4.3,00:4B:12:9B:47:81,-72,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,20379996,0,94,0,20.7822,256,[94 96 5 0 -25 -19 -26 -15 -23 -14 -23 -15 -23 -14 -26 -14 -21 -11 -22 -12 -24 -10 -24 -10 -22 -8 -24 -7 -24 -8 -25 -10 -24 -7 -24 -9 -23 -8 -22 -11 -23 -10 -21 -11 -21 -11 -19 -11 -19 -12 -17 -11 -16 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -10 -18 -11 -17 -14 -18 -16 -15 -14 -17 -16 -18 -17 -17 -17 -15 -18 -15 -19 -18 -20 -16 -18 -19 -19 -16 -19 -16 -19 -17 -20 -18 -18 -18 -17 -20 -17 -19 -17 -19 -16 -23 -17 -20 -18 -23 -16 -24 -18 -23 -17 ]
192.168.4.4,00:4B:12:9B:47:81,-76,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,15623060,0,94,0,16.0028,256,[94 96 5 0 -26 4 -24 3 -24 4 -21 3 -21 2 -20 5 -20 4 -18 5 -18 6 -17 7 -15 5 -15 6 -16 7 -14 8 -15 8 -14 8 -13 7 -13 7 -13 8 -13 5 -12 5 -11 6 -11 7 -11 6 -11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -27 8 -29 5 -31 2 -31 1 -31 -1 -31 -3 -31 -4 -30 -5 -30 -6 -31 -6 -33 -8 -31 -5 -31 -5 -28 -6 -27 -6 -29 -6 -28 -6 -27 -3 -28 -3 -27 -2 -25 -1 -27 -1 -28 1 -28 -2 -28 0 -28 1 ]
192.168.4.4,00:4B:12:9B:47:81,-80,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,15649304,0,94,0,16.0293,256,[94 96 5 0 -2 17 -4 21 0 22 2 16 -1 15 2 17 1 16 5 17 7 15 6 15 9 15 10 15 11 15 13 17 11 16 12 17 12 18 12 16 10 17 11 17 11 16 11 19 9 20 9 19 6 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 25 -10 25 -16 22 -14 21 -17 24 -20 23 -18 21 -17 20 -20 19 -20 21 -23 19 -21 17 -18 16 -17 17 -18 16 -17 17 -15 15 -12 19 -13 18 -14 17 -12 17 -8 19 -7 19 -8 19 -7 20 -8 18 ]
192.168.4.3,00:4B:12:9B:47:81,-81,11,1,3,0,1,1,1,0,0,0,-97,1,1,0,20408544,0,94,0,20.811,256,[94 96 5 0 -24 -9 -25 -8 -30 -7 -27 -5 -28 -3 -27 -4 -26 -1 -27 -5 -27 -1 -28 4 -29 1 -30 2 -27 2 -31 3 -30 7 -31 4 -26 3 -30 1 -26 2 -29 1 -28 4 -27 1 -26 -4 -26 -2 -28 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -5 -7 -5 -4 -6 -5 -2 -8 -9 -8 -9 -5 -10 -9 -9 -8 -7 -7 -5 -9 -10 -6 -13 -6 -11 -9 -11 -9 -11 -12 -15 -5 -17 -4 -15 -11 -19 -7 -18 -8 -23 -3 -22 -8 -22 -8 -20 -3 -22 -9 ]
192.168.4.4,00:4B:12:9B:47:81,-78,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,15661228,0,94,0,16.041,256,[94 96 5 0 -25 -2 -22 -5 -22 -3 -20 1 -19 -2 -19 2 -17 2 -16 3 -16 4 -17 6 -12 10 -15 6 -16 8 -12 10 -13 7 -13 10 -11 8 -14 9 -13 9 -10 10 -14 5 -11 10 -12 8 -10 5 -11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 -2 -29 -5 -32 -7 -32 -7 -31 -11 -30 -11 -31 -12 -29 -13 -29 -14 -27 -15 -31 -17 -29 -16 -26 -17 -24 -14 -26 -16 -26 -16 -24 -14 -25 -13 -23 -8 -23 -10 -22 -11 -22 -7 -22 -8 -26 -5 -22 -7 -23 -7 ]
192.168.4.3,00:4B:12:9B:47:81,-71,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,20428051,0,94,0,20.8304,256,[94 96 5 0 0 -26 0 -26 1 -25 0 -26 -1 -24 -2 -25 -1 -23 -2 -22 -3 -22 -5 -24 -4 -23 -3 -23 -5 -24 -5 -22 -4 -23 -3 -23 -3 -24 -3 -22 -2 -22 -1 -22 0 -20 0 -20 0 -20 1 -18 3 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -17 -2 -18 -1 -19 1 -20 2 -19 2 -21 3 -20 3 -22 5 -20 5 -22 6 -22 5 -23 5 -22 5 -23 5 -22 5 -24 5 -22 4 -22 3 -23 2 -23 2 -23 2 -25 2 -24 3 -25 1 -27 0 -27 ]
